molecul e_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL5416410,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,active,15.0
CHEMBL3736320,CC(C)n1nc(C#Cc2cccc(NC(=O)c3cccc(C(F)(F)F)c3)c2)c2c(N)ncnc21,active,7.5
CHEMBL4237900,CC(C)n1nc(C#Cc2cccc3cc(-c4ccc(CN5CCN(C)CC5)cc4)ncc23)c2c(N)ncnc21,intermediate,211.0
CHEMBL3736320,CC(C)n1nc(C#Cc2cccc(NC(=O)c3cccc(C(F)(F)F)c3)c2)c2c(N)ncnc21,active,7.5
CHEMBL4242050,Cc1ccc2cc(-c3cccc(C(F)(F)F)c3)ncc2c1C#Cc1nn(C(C)C)c2ncnc(N)c12,intermediate,435.0
CHEMBL4237900,CC(C)n1nc(C#Cc2cccc3cc(-c4ccc(CN5CCN(C)CC5)cc4)ncc23)c2c(N)ncnc21,intermediate,354.0
CHEMBL4248365,CCn1nc(C#Cc2cccc3cc(-c4cccc(C(F)(F)F)c4)ncc23)c2c(N)ncnc21,inactive,1107.0
CHEMBL4247506,CC(C)n1nc(C#Cc2cccc3cc(-c4cccc(C(F)(F)F)c4)ncc23)c2c(N)ncnc21,intermediate,942.0
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,active,38.0
CHEMBL20867,Cc1ccc(C(=O)Nc2ccc(C)c(Nc3nccc(-c4cccnc4)n3)c2)cc1,intermediate,200.0
CHEMBL4290371,CNC(=O)c1cccc2cc(Oc3ccnc(NC(=O)c4ccc(N5CCN(C)CC5)cc4)c3)ccc12,inactive,1000.0
CHEMBL2336015,CCc1ccc(C(=O)Nc2cc(CN3CCN(C)CC3)cc(C(F)(F)F)c2)cc1C#Cc1cnc2ccnn2c1,intermediate,355.0
CHEMBL4473475,CCc1ccc(C(=O)Nc2cc(CN3CCN(C)CC3)cc(C(F)(F)F)c2)cc1-c1cccc(-c2cnc3cnccn23)c1,intermediate,437.0
CHEMBL4544048,CCc1ccc(C(=O)Nc2cccc(CN3CCN(C)CC3)c2)cc1-c1cccc(-c2cnc3cnccn23)c1,intermediate,989.3
CHEMBL4438475,CCc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1-c1cccc(-c2cnc3cnccn23)c1,inactive,2220.0
